t,pop,births,deaths,delivered,hof_best,gen
2.0,40,0,0,0,5.47,0
4.0,38,0,2,0,13.79,0
6.0,21,0,19,0,13.79,0
8.0,16,0,24,0,13.79,0
10.0,16,0,24,0,13.79,0
12.0,15,0,26,0,13.79,1
14.0,15,0,27,0,13.79,1
16.0,15,0,30,0,13.79,1
18.0,15,0,31,0,13.79,1
20.0,15,0,33,0,13.79,2
22.0,15,0,33,0,13.79,2
24.0,15,0,36,0,13.79,2
26.0,15,0,36,0,19.27,2
28.0,16,3,39,1,19.68,2
30.0,15,3,40,1,19.68,2
32.0,15,3,45,1,19.68,3
34.0,15,3,47,1,19.68,3
36.0,15,3,49,1,19.68,3
38.0,15,3,50,1,19.68,3
40.0,15,3,51,1,19.68,3
42.0,15,3,53,1,19.68,3
44.0,15,3,55,1,19.68,3
46.0,15,3,56,1,19.68,3
48.0,15,3,57,1,19.68,3
50.0,15,3,58,1,44.65,3
52.0,15,3,59,1,44.65,3
54.0,15,3,61,1,44.65,3
56.0,15,3,64,1,44.65,3
58.0,15,3,66,1,44.65,3
60.0,15,3,68,1,44.65,3
62.0,15,3,74,1,44.65,3
64.0,15,3,79,1,44.65,3
66.0,15,3,81,1,44.65,3
68.0,15,3,86,1,44.65,3
70.0,15,3,88,1,44.65,3
72.0,15,3,91,1,44.65,3
74.0,15,3,93,1,44.65,3
76.0,15,3,97,1,44.65,3
78.0,15,3,99,1,44.65,3
80.0,15,3,103,1,44.65,3
82.0,15,3,106,1,44.65,3
84.0,15,3,107,1,44.65,3
86.0,15,3,112,1,44.65,3
88.0,15,3,112,1,44.65,3
90.0,15,3,116,1,44.65,3
92.0,15,3,118,1,44.65,3
94.0,15,3,121,1,44.65,3
96.0,15,3,122,1,44.65,3
98.0,15,3,125,1,44.65,3
100.0,15,3,127,1,44.65,3
102.0,15,3,128,1,44.65,3
104.0,15,3,128,1,44.65,3
106.0,15,3,130,1,47.43,4
108.0,15,3,131,1,47.43,4
110.0,15,3,133,1,47.43,4
112.0,15,3,134,1,47.43,4
114.0,15,3,135,1,47.43,4
116.0,15,3,136,1,47.43,4
118.0,15,3,136,1,47.43,4
120.0,15,3,140,1,47.43,4
122.0,15,3,141,1,47.43,4
124.0,15,3,141,1,47.43,4
126.0,15,3,141,1,47.43,4
128.0,15,3,142,1,47.43,4
130.0,15,3,143,1,47.43,4
132.0,15,3,147,1,47.43,4
134.0,15,3,148,1,47.43,4
136.0,15,3,151,1,47.43,4
138.0,15,3,152,1,47.43,4
140.0,15,3,152,1,47.43,4
142.0,15,3,155,1,47.43,4
144.0,15,3,156,1,47.43,4
146.0,15,3,157,1,47.43,4
148.0,15,3,159,1,47.43,4
150.0,15,3,161,1,47.43,4
152.0,15,3,162,1,47.43,4
154.0,15,3,163,1,47.43,4
156.0,15,3,165,1,47.43,4
158.0,15,3,167,1,47.43,4
160.0,15,3,167,1,47.43,4
162.0,15,3,169,1,47.43,4
164.0,15,3,169,1,47.43,4
166.0,15,3,170,1,47.43,4
168.0,15,3,170,1,47.43,4
170.0,15,3,172,1,58.92,4
172.0,15,3,172,1,63.29,4
174.0,15,3,173,1,63.29,5
176.0,15,3,173,1,63.29,5
178.0,15,3,173,1,63.29,5
180.0,15,3,175,1,63.29,5
182.0,15,3,178,1,63.29,5
184.0,15,3,181,1,63.29,5
186.0,15,3,181,1,63.29,5
188.0,16,6,184,2,63.29,6
190.0,15,6,185,2,63.29,6
192.0,15,6,189,2,63.29,6
194.0,15,6,192,2,63.29,6
196.0,15,6,193,2,63.29,6
198.0,15,6,195,2,63.29,6
200.0,15,6,197,2,63.29,6
202.0,15,6,199,2,63.29,6
204.0,15,6,200,2,63.29,6
206.0,15,6,200,2,63.29,6
208.0,15,6,200,2,63.29,6
210.0,15,6,202,2,63.29,6
212.0,15,6,202,2,63.29,6
214.0,15,6,204,2,63.29,6
216.0,18,9,204,3,63.29,6
218.0,17,9,205,3,63.29,6
220.0,16,9,206,3,63.29,6
222.0,15,9,208,3,63.29,6
224.0,17,12,209,4,63.29,6
226.0,17,12,209,4,63.29,6
228.0,15,12,211,4,63.29,6
230.0,15,12,212,4,63.29,6
232.0,15,12,214,4,63.29,6
234.0,15,12,214,4,63.29,6
236.0,15,12,215,4,63.29,6
238.0,17,15,216,5,63.29,6
240.0,16,15,217,5,63.29,6
242.0,17,18,219,6,63.29,7
244.0,17,18,219,6,63.29,7
246.0,15,18,221,6,63.29,7
248.0,15,18,221,6,63.29,7
250.0,15,18,222,6,63.29,7
252.0,15,18,223,6,63.29,7
254.0,15,18,223,6,63.29,7
256.0,15,18,225,6,63.29,7
258.0,15,18,226,6,63.29,7
260.0,15,18,229,6,63.29,7
262.0,15,18,229,6,63.29,7
264.0,15,18,229,6,63.29,7
266.0,15,18,231,6,63.29,7
268.0,15,18,232,6,63.29,7
270.0,15,18,233,6,63.29,7
272.0,15,18,233,6,63.29,7
274.0,15,18,236,6,63.29,7
276.0,15,18,239,6,63.29,7
278.0,18,21,240,7,63.29,8
280.0,17,21,241,7,63.29,8
282.0,17,21,241,7,63.29,8
284.0,16,21,242,7,63.29,8
286.0,15,21,244,7,63.29,8
288.0,15,21,244,7,63.29,8
290.0,17,24,245,8,63.29,8
292.0,16,24,246,8,63.29,8
294.0,15,24,247,8,63.29,8
296.0,15,24,248,8,76.51,8
298.0,15,24,248,8,77.79,8
300.0,18,27,248,9,79.62,9
302.0,18,27,248,9,79.62,9
304.0,17,27,249,9,79.62,9
306.0,17,27,249,9,79.62,9
308.0,15,27,252,9,79.62,9
310.0,15,27,253,9,79.62,9
312.0,15,27,254,9,79.62,9
314.0,15,27,255,9,79.62,9
316.0,15,27,257,9,79.62,9
318.0,15,27,258,9,79.62,9
320.0,15,27,260,9,79.62,9
322.0,15,27,262,9,79.62,9
324.0,15,27,266,9,79.62,9
326.0,15,27,268,9,79.62,9
328.0,15,27,270,9,79.62,9
330.0,15,27,273,9,79.62,9
332.0,15,27,276,9,79.62,9
334.0,15,27,279,9,79.62,9
336.0,15,27,282,9,79.62,9
338.0,15,27,286,9,79.62,9
340.0,15,27,290,9,79.62,9
342.0,15,27,294,9,79.62,9
344.0,18,30,295,10,79.62,9
346.0,15,30,300,10,79.62,9
348.0,15,30,303,10,79.62,9
350.0,15,30,305,10,79.62,9
352.0,15,30,308,10,79.62,9
354.0,15,30,311,10,79.62,9
356.0,15,30,312,10,79.62,9
358.0,18,33,315,11,79.62,9
360.0,17,33,316,11,79.62,9
362.0,17,33,316,11,79.62,9
364.0,15,33,318,11,79.62,9
366.0,15,33,319,11,79.62,9
368.0,15,33,321,11,79.62,9
370.0,17,36,322,12,79.62,9
372.0,15,36,324,12,79.62,9
374.0,15,36,325,12,79.62,9
376.0,15,36,327,12,79.62,9
378.0,15,36,328,12,79.62,9
380.0,16,39,330,13,86.59,9
382.0,15,39,331,13,88.74,9
384.0,15,39,333,13,89.05,9
386.0,15,39,335,13,89.05,9
388.0,15,39,338,13,89.05,9
390.0,15,39,338,13,89.05,9
392.0,15,39,340,13,89.05,9
394.0,15,39,342,13,89.05,9
396.0,15,39,342,13,89.05,9
398.0,15,39,344,13,89.05,9
400.0,15,39,346,13,89.05,9
402.0,15,39,347,13,89.05,9
404.0,15,39,350,13,89.05,9
406.0,15,39,350,13,89.05,9
408.0,15,39,352,13,89.05,9
410.0,15,39,355,13,89.05,9
412.0,15,39,357,13,89.05,9
414.0,15,39,359,13,89.05,9
416.0,15,39,359,13,89.05,9
418.0,15,39,362,13,89.05,9
420.0,15,39,363,13,89.05,9
422.0,15,39,365,13,89.05,9
424.0,15,39,367,13,89.05,9
426.0,15,39,368,13,89.05,9
428.0,15,39,372,13,89.05,9
430.0,15,39,375,13,89.05,9
432.0,15,39,378,13,89.05,9
434.0,15,39,381,13,89.05,9
436.0,15,39,383,13,89.05,9
438.0,15,39,385,13,89.05,9
440.0,15,39,390,13,89.05,9
442.0,15,42,395,14,89.05,10
444.0,15,42,396,14,89.05,10
446.0,15,42,399,14,89.05,10
448.0,15,42,402,14,89.05,10
450.0,15,42,404,14,89.05,10
452.0,15,42,407,14,89.05,10
454.0,15,42,410,14,89.05,10
456.0,15,42,412,14,89.05,10
458.0,15,42,416,14,89.05,10
460.0,15,42,416,14,89.05,10
462.0,15,42,417,14,89.05,10
464.0,15,42,419,14,89.05,10
466.0,15,42,420,14,89.05,10
468.0,15,42,420,14,89.05,10
470.0,15,42,423,14,89.05,10
472.0,15,42,426,14,89.05,10
474.0,16,45,429,15,89.05,10
476.0,15,45,433,15,89.05,10
478.0,15,45,434,15,89.05,10
480.0,15,45,436,15,89.05,10
482.0,15,45,438,15,89.05,10
484.0,15,45,440,15,89.05,10
486.0,15,45,442,15,89.05,10
488.0,15,45,445,15,89.05,10
490.0,15,45,447,15,89.05,10
492.0,15,45,448,15,89.05,10
494.0,17,48,450,16,89.05,10
496.0,17,48,450,16,89.05,10
498.0,15,48,452,16,89.05,10
500.0,15,48,452,16,89.05,10
502.0,15,48,452,16,89.05,10
504.0,17,51,453,17,89.05,10
506.0,15,51,455,17,89.05,10
508.0,18,54,455,18,89.05,10
510.0,17,54,456,18,89.05,10
512.0,17,54,456,18,89.05,10
514.0,15,54,458,18,89.05,10
516.0,16,57,460,19,89.05,11
518.0,15,57,461,19,89.05,11
520.0,15,57,462,19,89.05,11
522.0,18,60,463,20,89.05,12
524.0,18,63,467,21,89.05,12
526.0,17,63,468,21,89.05,12
528.0,15,63,470,21,89.05,12
530.0,15,63,471,21,89.05,12
532.0,15,66,475,22,89.05,13
534.0,15,69,479,23,89.39,13
536.0,15,69,481,23,89.39,13
538.0,15,69,482,23,89.39,13
540.0,15,69,484,23,89.39,13
542.0,15,69,486,23,89.39,13
544.0,16,72,488,24,92.69,13
546.0,15,72,490,24,93.2,13
548.0,18,75,491,25,106.0,13
550.0,18,75,491,25,106.0,13
552.0,16,75,493,25,106.0,13
554.0,18,78,495,26,106.0,13
556.0,20,81,496,27,106.0,13
558.0,19,81,497,27,106.0,13
560.0,19,84,500,28,106.0,13
562.0,21,87,501,29,106.0,13
564.0,24,93,504,31,106.0,13
566.0,25,96,506,32,106.0,13
568.0,25,96,506,32,106.0,13
570.0,24,96,507,32,106.0,13
572.0,22,96,509,32,106.0,13
574.0,25,102,512,34,106.0,13
576.0,25,105,515,35,106.0,14
578.0,22,105,518,35,106.0,14
580.0,19,105,521,35,106.0,14
582.0,19,108,524,36,106.0,15
584.0,16,108,527,36,106.0,15
586.0,16,108,527,36,106.0,15
588.0,16,108,527,36,106.0,15
590.0,15,108,528,36,106.0,15
592.0,15,108,530,36,106.0,15
594.0,15,108,535,36,106.0,15
596.0,15,108,535,36,106.0,15
598.0,15,108,536,36,106.0,15
600.0,17,111,537,37,106.0,15
602.0,15,111,539,37,106.0,15
604.0,15,111,542,37,106.0,15
606.0,15,111,544,37,106.0,15
608.0,15,111,545,37,106.0,15
610.0,15,111,546,37,106.0,15
612.0,15,111,549,37,106.0,15
614.0,15,111,551,37,106.0,15
616.0,15,111,554,37,106.0,15
618.0,15,111,554,37,106.0,15
620.0,15,111,557,37,106.0,15
622.0,15,111,558,37,106.0,15
624.0,15,111,559,37,106.0,15
626.0,19,117,561,39,106.0,15
628.0,18,117,562,39,106.0,15
630.0,16,117,564,39,106.0,15
632.0,15,117,566,39,106.0,15
634.0,15,117,567,39,106.0,15
636.0,15,117,567,39,106.0,15
638.0,15,117,569,39,106.0,15
640.0,17,120,570,40,106.0,15
642.0,15,120,574,40,106.0,15
644.0,15,120,577,40,106.0,15
646.0,15,120,581,40,106.0,15
648.0,15,120,585,40,106.0,15
650.0,15,120,587,40,106.0,15
652.0,15,120,589,40,106.0,15
654.0,15,120,591,40,106.0,15
656.0,15,120,594,40,106.0,15
658.0,15,120,594,40,106.0,15
660.0,15,120,595,40,106.0,15
662.0,15,120,599,40,106.0,15
664.0,15,120,600,40,106.0,15
666.0,15,120,601,40,106.0,15
668.0,15,120,601,40,106.0,15
670.0,15,120,605,40,106.0,15
672.0,15,120,606,40,106.0,15
674.0,15,120,610,40,106.0,15
676.0,15,120,611,40,106.0,15
678.0,15,120,614,40,106.0,15
680.0,15,120,615,40,106.0,15
682.0,18,123,615,41,106.0,15
684.0,17,123,616,41,106.0,15
686.0,15,123,619,41,106.0,15
688.0,15,123,623,41,106.0,15
690.0,15,123,623,41,106.0,15
692.0,15,123,624,41,106.0,15
694.0,15,123,627,41,106.0,15
696.0,15,123,627,41,106.0,15
698.0,17,126,628,42,106.0,15
700.0,15,126,631,42,106.0,15
702.0,15,126,632,42,106.0,15
704.0,15,126,633,42,106.0,15
706.0,15,126,634,42,106.0,15
708.0,15,126,634,42,106.0,15
710.0,15,126,634,42,106.0,15
712.0,15,129,637,43,106.0,15
714.0,17,132,639,44,106.0,15
716.0,15,132,641,44,106.0,15
718.0,17,135,642,45,106.0,15
720.0,16,135,643,45,106.0,15
722.0,15,135,644,45,106.0,15
724.0,15,135,647,45,106.0,15
726.0,15,135,647,45,106.0,15
728.0,15,135,649,45,106.0,15
730.0,18,138,649,46,106.0,15
732.0,18,138,649,46,106.0,15
734.0,17,138,650,46,106.0,15
736.0,18,141,652,47,106.0,15
738.0,17,141,653,47,106.0,15
740.0,16,141,654,47,106.0,15
742.0,15,141,658,47,106.0,15
744.0,17,144,662,48,106.0,15
746.0,15,144,666,48,106.0,15
748.0,15,144,667,48,106.0,15
750.0,17,147,669,49,106.0,15
752.0,17,147,669,49,106.0,15
754.0,20,150,669,50,106.0,15
756.0,20,150,669,50,106.0,15
758.0,17,150,672,50,106.0,15
760.0,15,150,676,50,106.0,15
762.0,15,150,678,50,106.0,15
764.0,15,150,679,50,106.0,15
766.0,15,150,681,50,106.0,15
768.0,15,150,683,50,106.0,15
770.0,15,150,685,50,106.0,15
772.0,15,150,687,50,106.0,15
774.0,15,150,689,50,106.0,15
776.0,15,150,689,50,106.0,15
778.0,15,150,692,50,106.0,15
780.0,15,150,695,50,106.0,15
782.0,16,153,698,51,106.0,16
784.0,15,153,702,51,106.0,16
786.0,15,153,703,51,106.0,16
788.0,15,153,705,51,106.0,16
790.0,15,153,706,51,106.0,16
792.0,16,156,708,52,106.0,16
794.0,15,156,709,52,106.0,16
796.0,15,156,711,52,106.0,16
798.0,15,156,711,52,106.0,16
800.0,18,159,713,53,106.0,16
802.0,18,159,713,53,106.0,16
804.0,18,162,716,54,106.0,16
806.0,17,162,717,54,106.0,16
808.0,17,162,717,54,106.0,16
810.0,16,162,718,54,106.0,16
812.0,15,162,723,54,106.0,16
814.0,15,162,725,54,106.0,16
816.0,15,162,725,54,106.0,16
818.0,15,162,727,54,106.0,16
820.0,15,162,731,54,106.0,16
822.0,15,162,733,54,106.0,16
824.0,15,162,734,54,106.0,16
826.0,15,162,734,54,106.0,16
828.0,15,162,737,54,106.0,16
830.0,15,162,738,54,106.0,16
832.0,15,162,740,54,106.0,16
834.0,15,162,743,54,106.0,16
836.0,15,162,745,54,106.0,16
838.0,15,162,745,54,106.0,16
840.0,15,162,747,54,106.0,16
842.0,15,162,748,54,106.0,16
844.0,15,162,750,54,106.0,16
846.0,15,162,751,54,106.0,16
848.0,15,162,754,54,106.0,16
850.0,15,162,756,54,106.0,16
852.0,15,162,759,54,106.0,16
854.0,15,162,760,54,106.0,16
856.0,15,162,763,54,106.0,16
858.0,15,162,764,54,106.0,16
860.0,15,162,766,54,106.0,16
862.0,15,162,768,54,106.0,16
864.0,15,162,769,54,106.0,16
866.0,15,162,774,54,106.0,16
868.0,15,162,776,54,106.0,16
870.0,15,162,778,54,106.0,16
872.0,15,162,779,54,106.0,16
874.0,15,162,782,54,106.0,16
876.0,15,162,784,54,106.0,16
878.0,15,162,785,54,106.0,16
880.0,15,162,787,54,106.0,16
882.0,15,162,787,54,106.0,16
884.0,18,165,789,55,106.0,16
886.0,16,165,791,55,106.0,16
888.0,15,165,794,55,106.0,16
890.0,18,168,798,56,106.0,16
892.0,18,168,798,56,106.0,16
894.0,16,168,800,56,106.0,16
896.0,15,171,804,57,106.0,16
898.0,15,171,806,57,106.0,16
900.0,16,174,810,58,106.0,16
902.0,18,177,811,59,106.0,16
904.0,15,177,815,59,106.0,16
906.0,15,177,816,59,106.0,16
908.0,15,177,816,59,106.0,16
910.0,15,177,817,59,106.0,16
912.0,15,177,819,59,106.0,16
914.0,15,177,821,59,106.0,16
916.0,15,177,824,59,106.0,16
918.0,15,177,830,59,106.0,16
920.0,15,177,832,59,106.0,16
922.0,15,177,833,59,106.0,16
924.0,15,177,836,59,106.0,16
926.0,15,177,836,59,106.0,16
928.0,15,177,838,59,106.0,16
930.0,15,177,841,59,106.0,16
932.0,15,177,844,59,106.0,16
934.0,15,177,847,59,106.0,16
936.0,18,180,847,60,106.0,16
938.0,15,180,850,60,106.0,16
940.0,15,180,851,60,106.0,16
942.0,15,180,851,60,106.0,16
