t,pop,births,deaths,delivered,hof_best,gen
2.0,40,0,0,0,5.56,0
4.0,39,0,1,0,16.45,0
6.0,33,0,7,0,16.45,0
8.0,31,0,9,0,17.51,0
10.0,27,0,13,0,17.51,0
12.0,24,0,16,0,17.51,0
14.0,23,0,17,0,17.51,0
16.0,22,0,18,0,17.51,0
18.0,21,0,19,0,17.51,0
20.0,19,0,21,0,17.51,0
22.0,19,0,21,0,17.51,0
24.0,18,0,22,0,17.51,0
26.0,17,0,23,0,17.51,0
28.0,16,0,24,0,17.51,0
30.0,15,0,27,0,17.51,1
32.0,15,0,36,0,17.51,1
34.0,15,0,36,0,17.51,1
36.0,15,0,39,0,17.51,1
38.0,15,0,42,0,17.51,1
40.0,15,0,42,0,17.51,1
42.0,15,0,47,0,17.51,1
44.0,15,0,49,0,17.51,1
46.0,17,3,50,1,35.05,2
48.0,15,3,52,1,35.05,2
50.0,15,3,52,1,35.05,2
52.0,15,3,54,1,35.05,2
54.0,15,3,55,1,35.05,2
56.0,15,3,56,1,35.05,2
58.0,15,3,58,1,35.05,2
60.0,15,3,60,1,35.05,2
62.0,15,3,61,1,36.07,2
64.0,15,3,62,1,41.78,2
66.0,15,3,62,1,41.78,2
68.0,15,3,64,1,41.78,2
70.0,15,3,66,1,41.78,2
72.0,15,3,67,1,41.78,2
74.0,15,3,67,1,41.78,2
76.0,15,3,67,1,41.78,2
78.0,15,3,67,1,41.78,2
80.0,15,3,67,1,41.78,2
82.0,15,3,71,1,41.78,2
84.0,15,3,71,1,41.78,2
86.0,15,3,73,1,41.78,2
88.0,15,3,74,1,41.78,2
90.0,15,3,75,1,41.78,2
92.0,15,3,78,1,41.78,2
94.0,15,3,78,1,41.78,2
96.0,15,3,79,1,41.78,2
98.0,15,3,84,1,41.78,2
100.0,15,3,85,1,41.78,2
102.0,15,3,87,1,41.78,2
104.0,15,3,87,1,41.78,2
106.0,15,3,88,1,41.78,2
108.0,15,3,89,1,41.78,2
110.0,15,3,90,1,41.78,2
112.0,15,3,92,1,41.78,2
114.0,15,3,93,1,41.78,2
116.0,15,3,94,1,41.78,2
118.0,15,3,98,1,41.78,2
120.0,15,3,99,1,41.78,3
122.0,15,3,101,1,41.78,3
124.0,15,3,101,1,41.78,3
126.0,15,3,102,1,41.78,3
128.0,15,3,106,1,41.78,4
130.0,15,3,108,1,41.78,4
132.0,15,3,111,1,41.78,4
134.0,15,3,111,1,41.78,4
