t,pop,births,deaths,delivered,hof_best,gen
2.0,40,0,0,0,4.0,0
4.0,40,0,0,0,5.71,0
6.0,40,0,0,0,18.84,0
8.0,40,0,0,0,18.84,0
10.0,40,0,0,0,39.62,0
12.0,38,0,2,0,39.79,0
14.0,37,0,3,0,39.79,0
16.0,36,0,4,0,39.79,0
18.0,34,0,6,0,39.79,0
20.0,33,0,7,0,39.79,0
22.0,31,0,9,0,39.79,0
24.0,31,0,9,0,39.79,0
26.0,31,0,9,0,39.79,0
28.0,34,3,9,1,39.79,1
30.0,34,3,9,1,39.79,1
32.0,34,3,9,1,39.79,1
34.0,34,3,9,1,39.79,1
36.0,34,3,9,1,39.79,1
38.0,34,3,9,1,39.79,1
40.0,34,3,9,1,39.79,1
42.0,15,3,36,1,39.79,1
44.0,15,3,36,1,39.79,1
46.0,15,3,37,1,39.79,1
48.0,15,3,37,1,39.79,1
50.0,15,3,38,1,54.13,1
52.0,15,3,39,1,55.87,2
54.0,15,3,40,1,55.87,2
56.0,15,3,40,1,55.87,2
58.0,15,3,42,1,55.87,2
60.0,15,3,44,1,55.87,2
62.0,15,3,44,1,55.87,2
64.0,15,3,44,1,55.87,2
66.0,15,3,45,1,55.87,2
68.0,15,3,47,1,55.87,2
70.0,15,3,47,1,55.87,2
72.0,15,3,47,1,55.87,2
74.0,15,3,47,1,55.87,2
76.0,15,3,48,1,55.87,2
78.0,15,3,48,1,55.87,2
80.0,15,3,48,1,55.87,2
82.0,15,3,53,1,55.87,2
84.0,15,3,53,1,55.87,2
86.0,15,3,54,1,55.87,2
88.0,15,3,54,1,55.87,2
90.0,15,3,55,1,55.87,2
92.0,15,3,56,1,55.87,2
94.0,15,3,57,1,55.87,2
96.0,15,3,58,1,55.87,2
98.0,15,3,60,1,55.87,2
100.0,15,3,60,1,55.87,2
102.0,15,3,60,1,55.87,2
104.0,15,3,60,1,55.87,2
106.0,15,3,62,1,55.87,2
108.0,15,3,65,1,55.87,2
110.0,15,3,65,1,55.87,2
112.0,15,3,66,1,55.87,2
114.0,15,3,66,1,55.87,2
116.0,15,3,67,1,55.87,2
118.0,15,3,67,1,55.87,2
120.0,15,3,67,1,55.87,2
122.0,15,3,69,1,55.87,2
124.0,15,3,69,1,55.87,2
126.0,15,3,69,1,55.87,2
128.0,15,3,70,1,55.87,2
130.0,15,3,71,1,55.87,2
132.0,15,3,74,1,55.87,2
134.0,15,3,75,1,55.87,2
136.0,15,3,75,1,55.87,2
138.0,15,3,77,1,55.87,2
140.0,15,3,77,1,55.87,2
142.0,15,3,78,1,55.87,2
144.0,15,3,78,1,55.87,2
146.0,15,3,79,1,55.87,2
148.0,15,3,82,1,55.87,2
150.0,15,3,82,1,55.87,2
152.0,15,3,83,1,55.87,2
154.0,15,3,83,1,55.87,2
156.0,15,3,84,1,55.87,2
158.0,15,3,84,1,55.87,2
160.0,15,3,84,1,55.87,2
162.0,15,3,86,1,55.87,2
164.0,15,3,86,1,55.87,2
166.0,15,3,86,1,55.87,2
168.0,15,3,87,1,55.87,2
170.0,15,3,89,1,55.87,2
172.0,15,3,91,1,55.87,2
174.0,15,3,92,1,55.87,2
176.0,15,3,92,1,55.87,2
178.0,15,3,94,1,55.87,2
180.0,15,3,94,1,55.87,2
182.0,15,3,95,1,55.87,2
184.0,15,3,95,1,55.87,2
186.0,15,3,96,1,55.87,2
188.0,15,3,98,1,55.87,2
190.0,15,3,98,1,55.87,2
192.0,15,3,99,1,55.87,2
194.0,15,3,99,1,55.87,2
196.0,15,3,101,1,55.87,2
198.0,15,3,101,1,55.87,2
200.0,15,3,101,1,55.87,2
202.0,15,3,104,1,55.87,2
204.0,15,3,105,1,55.87,2
206.0,15,3,105,1,55.87,2
208.0,15,3,106,1,55.87,2
210.0,15,3,107,1,55.87,2
212.0,15,3,110,1,55.87,2
214.0,15,3,111,1,55.87,2
216.0,15,3,111,1,55.87,2
218.0,15,3,111,1,55.87,2
220.0,15,3,112,1,55.87,2
222.0,15,3,112,1,55.87,2
224.0,15,3,112,1,55.87,2
226.0,15,3,112,1,55.87,2
228.0,15,3,114,1,55.87,2
230.0,15,3,114,1,55.87,2
232.0,15,3,115,1,55.87,2
234.0,15,3,115,1,55.87,2
236.0,15,3,116,1,55.87,2
238.0,15,3,116,1,55.87,2
240.0,15,3,117,1,55.87,2
242.0,15,3,120,1,55.87,2
244.0,15,3,122,1,55.87,2
246.0,15,3,122,1,55.87,2
248.0,15,3,123,1,55.87,2
250.0,15,3,124,1,55.87,2
252.0,15,3,126,1,55.87,2
254.0,15,3,128,1,55.87,2
256.0,15,3,129,1,55.87,2
258.0,15,3,129,1,55.87,2
260.0,15,3,130,1,55.87,2
262.0,15,3,130,1,55.87,2
264.0,15,3,130,1,55.87,2
266.0,15,3,132,1,55.87,2
268.0,15,3,133,1,55.87,2
270.0,15,3,133,1,55.87,2
272.0,15,3,134,1,55.87,2
274.0,15,3,134,1,55.87,2
276.0,15,3,135,1,55.87,2
278.0,15,3,135,1,55.87,2
280.0,15,3,136,1,55.87,2
282.0,15,3,138,1,55.87,2
284.0,15,3,139,1,55.87,2
286.0,15,3,140,1,55.87,2
288.0,15,3,141,1,55.87,2
290.0,15,3,142,1,55.87,2
292.0,15,3,144,1,55.87,2
294.0,15,3,145,1,55.87,2
296.0,15,3,145,1,55.87,2
298.0,15,3,145,1,55.87,2
300.0,15,3,146,1,55.87,2
302.0,15,3,147,1,55.87,2
304.0,15,3,147,1,55.87,2
306.0,15,3,148,1,55.87,2
308.0,15,3,148,1,55.87,2
310.0,15,3,148,1,55.87,2
312.0,15,3,149,1,55.87,2
314.0,15,3,151,1,55.87,2
316.0,15,3,151,1,55.87,2
318.0,17,6,153,2,55.87,3
320.0,17,6,153,2,56.27,3
322.0,16,6,154,2,56.86,3
324.0,15,6,155,2,56.86,3
326.0,15,6,156,2,56.86,3
328.0,15,6,157,2,56.86,3
330.0,15,6,158,2,56.86,3
332.0,15,6,161,2,56.86,3
334.0,15,6,161,2,56.86,3
336.0,15,6,161,2,56.86,3
338.0,15,6,161,2,56.86,3
340.0,15,6,162,2,56.86,3
342.0,15,6,163,2,56.86,3
344.0,15,6,164,2,56.86,3
346.0,15,6,166,2,56.86,3
348.0,15,6,166,2,56.86,3
350.0,15,6,168,2,56.86,3
352.0,17,9,169,3,56.86,4
354.0,17,9,169,3,56.86,4
356.0,17,9,169,3,56.86,4
358.0,15,9,171,3,56.86,4
360.0,15,9,171,3,56.86,4
362.0,15,9,171,3,56.86,4
364.0,15,9,172,3,56.86,4
366.0,15,9,173,3,56.86,4
368.0,15,9,176,3,56.86,4
370.0,15,9,180,3,56.86,4
372.0,15,9,182,3,56.86,4
374.0,15,9,182,3,56.86,4
376.0,15,9,182,3,56.86,4
378.0,15,9,183,3,56.86,4
380.0,15,9,183,3,56.86,4
382.0,15,9,184,3,56.86,4
384.0,15,9,186,3,56.86,4
386.0,15,9,187,3,56.86,4
388.0,15,9,187,3,56.86,4
390.0,15,9,188,3,56.86,4
392.0,15,9,188,3,56.86,4
394.0,15,9,188,3,56.86,4
396.0,15,9,188,3,56.86,4
398.0,15,9,188,3,56.86,4
400.0,15,9,188,3,56.86,4
402.0,15,9,188,3,56.86,4
404.0,15,9,190,3,56.86,4
406.0,15,9,191,3,56.86,4
408.0,15,9,192,3,56.86,4
410.0,15,9,194,3,56.86,4
412.0,15,9,198,3,56.86,4
414.0,15,9,198,3,56.86,4
416.0,15,9,198,3,56.86,4
418.0,15,9,200,3,56.86,4
420.0,15,9,200,3,56.86,4
422.0,15,9,201,3,56.86,4
424.0,15,9,203,3,56.86,4
426.0,15,9,204,3,56.86,4
428.0,15,9,204,3,56.86,4
430.0,15,9,206,3,56.86,4
432.0,15,9,206,3,56.86,4
434.0,15,9,208,3,56.86,4
436.0,15,9,209,3,56.86,4
438.0,15,9,210,3,56.86,4
440.0,15,9,210,3,56.86,4
442.0,15,9,210,3,56.86,4
444.0,15,9,210,3,56.86,4
446.0,15,9,211,3,56.86,4
448.0,15,9,211,3,56.86,4
450.0,15,9,212,3,56.86,4
452.0,15,9,215,3,56.86,4
454.0,15,9,215,3,56.86,4
456.0,15,9,215,3,56.86,4
458.0,15,9,215,3,56.86,4
460.0,15,9,215,3,56.86,4
462.0,15,9,215,3,56.86,4
464.0,15,9,216,3,56.86,4
466.0,15,9,217,3,56.86,4
468.0,15,9,218,3,56.86,4
470.0,15,9,220,3,56.86,4
472.0,15,9,221,3,56.86,4
474.0,15,9,222,3,56.86,4
476.0,15,9,223,3,56.86,4
478.0,15,9,225,3,56.86,4
480.0,15,9,226,3,56.86,4
482.0,15,9,229,3,56.86,4
484.0,15,9,230,3,56.86,4
486.0,15,9,232,3,56.86,4
488.0,15,9,233,3,56.86,4
490.0,15,9,235,3,56.86,4
492.0,15,9,235,3,56.86,4
494.0,15,9,236,3,56.86,4
496.0,15,9,236,3,56.86,4
498.0,15,9,237,3,56.86,4
500.0,15,9,237,3,56.86,4
502.0,15,9,237,3,56.86,4
504.0,15,9,239,3,56.86,4
506.0,15,9,239,3,56.86,4
508.0,18,12,239,4,56.86,4
510.0,17,12,240,4,56.86,4
512.0,16,12,241,4,56.86,4
514.0,15,12,242,4,56.86,4
516.0,15,12,242,4,56.86,4
518.0,15,12,243,4,56.86,4
520.0,15,12,244,4,56.86,4
522.0,15,12,246,4,56.86,4
524.0,15,12,248,4,56.86,4
526.0,15,12,250,4,56.86,4
528.0,15,12,250,4,56.86,4
530.0,15,12,250,4,56.86,4
532.0,15,12,250,4,56.86,4
534.0,15,12,251,4,56.86,4
536.0,15,12,251,4,56.86,4
538.0,15,12,252,4,56.86,4
