t,pop,births,deaths,delivered,hof_best,gen
2.0,40,0,0,0,15.77,0
4.0,46,6,0,2,36.64,1
6.0,55,15,0,5,50.76,1
8.0,76,36,0,12,73.65,2
10.0,80,40,0,16,73.96,2
12.0,80,41,1,37,98.74,3
14.0,80,42,2,51,113.7,3
16.0,80,44,4,61,115.75,3
18.0,80,44,4,74,137.44,3
20.0,80,45,5,82,143.24,3
22.0,80,46,6,84,162.36,3
24.0,80,47,7,91,162.6,3
26.0,80,48,8,92,166.83,3
28.0,80,48,8,94,194.71,3
30.0,79,48,9,94,211.59,3
32.0,80,49,9,105,231.17,3
34.0,80,49,9,113,236.0,3
36.0,79,49,10,114,239.87,3
38.0,80,50,10,115,259.96,3
40.0,80,50,10,117,259.96,3
42.0,77,59,22,120,259.96,3
44.0,80,62,22,122,259.96,3
46.0,80,62,22,126,259.96,3
48.0,80,62,22,132,259.96,3
50.0,80,63,23,138,259.96,3
52.0,80,66,26,147,271.2,3
54.0,80,66,26,153,271.2,3
56.0,80,69,29,155,271.2,3
58.0,80,69,29,156,271.2,3
60.0,79,70,31,158,271.2,3
62.0,80,72,32,163,274.18,3
64.0,80,73,33,169,275.69,4
66.0,80,73,33,175,276.8,4
68.0,80,73,33,175,298.42,4
70.0,80,73,33,190,298.42,4
72.0,80,74,34,197,298.42,4
74.0,78,74,36,198,298.42,4
76.0,80,77,37,202,298.42,4
78.0,80,79,39,209,323.09,4
80.0,79,79,40,212,323.09,4
82.0,80,81,41,219,323.09,4
84.0,80,81,41,226,324.06,4
86.0,80,81,41,233,324.06,4
88.0,80,81,41,240,324.06,4
90.0,80,82,42,241,324.06,4
92.0,80,82,42,241,324.06,4
94.0,79,82,43,241,324.06,4
96.0,80,84,44,244,324.06,4
98.0,80,84,44,249,324.66,4
100.0,80,84,44,250,326.5,4
102.0,79,85,46,252,329.25,4
104.0,78,85,47,252,330.15,4
106.0,79,91,52,256,330.41,4
108.0,79,91,52,256,330.5,4
110.0,72,91,59,256,330.5,4
112.0,71,91,60,256,330.5,4
114.0,76,97,61,258,330.5,4
116.0,72,97,65,258,330.5,4
118.0,70,100,70,259,330.5,4
120.0,67,100,73,259,330.5,4
122.0,60,100,80,259,330.5,4
124.0,53,100,87,259,330.5,4
126.0,45,100,95,259,330.5,4
128.0,38,100,102,259,330.5,4
130.0,40,103,103,260,330.5,4
132.0,43,106,103,261,330.5,4
134.0,43,106,103,261,330.5,4
136.0,39,106,107,261,330.5,4
138.0,40,112,112,263,330.5,4
140.0,39,112,113,263,330.5,4
142.0,36,112,116,263,330.5,4
144.0,36,112,116,263,330.5,4
146.0,26,112,126,263,330.5,4
148.0,26,112,126,263,330.5,4
150.0,26,112,126,263,330.5,4
152.0,26,112,126,263,330.5,4
154.0,22,115,133,264,330.5,4
156.0,22,115,133,264,330.5,4
158.0,20,115,135,264,330.5,4
160.0,23,118,135,265,330.5,4
162.0,29,124,135,267,330.5,4
164.0,29,124,135,267,330.5,4
166.0,32,127,135,268,330.5,4
168.0,38,133,135,270,342.84,4
170.0,36,133,137,270,342.88,4
172.0,36,136,140,271,342.88,4
174.0,36,136,140,271,344.71,4
176.0,36,136,140,271,347.22,4
178.0,34,136,142,271,347.22,4
180.0,46,148,142,275,347.22,4
182.0,46,148,142,275,347.22,4
184.0,49,151,142,276,347.22,4
186.0,49,151,142,276,347.97,4
188.0,58,160,142,279,347.97,4
190.0,67,169,142,282,347.97,5
192.0,73,175,142,284,348.09,5
194.0,78,181,143,286,348.09,5
196.0,80,184,144,287,348.09,5
198.0,80,184,144,289,348.8,5
200.0,77,185,148,291,348.8,5
202.0,78,191,153,293,348.8,5
204.0,80,193,153,294,348.8,5
206.0,79,193,154,294,349.6,5
208.0,75,193,158,294,349.84,5
210.0,78,196,158,295,349.84,6
212.0,80,198,158,297,349.84,6
214.0,80,198,158,298,349.84,6
216.0,80,198,158,298,349.84,6
218.0,80,198,158,298,349.84,6
220.0,75,200,165,299,349.84,6
222.0,78,203,165,300,349.84,6
224.0,77,205,168,303,349.84,6
226.0,77,205,168,303,349.84,6
228.0,68,205,177,303,349.84,6
230.0,57,205,188,303,349.84,6
232.0,49,205,196,303,349.84,6
234.0,41,205,204,303,349.84,6
236.0,40,205,205,303,349.84,6
238.0,38,205,207,303,349.84,6
240.0,35,205,210,303,349.84,6
242.0,31,208,217,304,349.84,6
244.0,31,211,220,305,349.84,6
246.0,30,211,221,305,349.84,6
248.0,29,211,222,305,349.84,6
250.0,29,214,225,306,349.84,6
252.0,24,214,230,306,349.84,6
254.0,23,214,231,306,349.84,6
256.0,23,214,231,306,349.84,6
258.0,26,217,231,307,349.84,6
260.0,29,223,234,309,349.84,6
262.0,29,226,237,310,349.84,7
264.0,30,229,239,311,349.84,7
266.0,33,232,239,312,349.84,7
268.0,36,235,239,313,349.84,7
270.0,39,238,239,314,349.84,7
272.0,39,238,239,314,349.84,7
274.0,39,238,239,314,349.84,7
276.0,42,241,239,315,349.84,7
278.0,45,244,239,316,349.84,7
280.0,54,253,239,319,349.84,8
282.0,56,256,240,320,349.84,8
284.0,56,256,240,320,349.84,8
286.0,62,262,240,322,349.84,8
288.0,68,268,240,324,349.84,8
290.0,72,274,242,326,349.84,9
292.0,75,277,242,327,349.84,9
294.0,78,280,242,328,349.84,9
296.0,80,282,242,331,349.84,9
298.0,80,283,243,333,349.84,9
300.0,80,285,245,335,349.84,9
302.0,80,286,246,338,349.84,9
304.0,80,287,247,340,349.84,9
306.0,79,287,248,343,349.84,9
308.0,80,289,249,344,355.99,9
310.0,77,289,252,344,355.99,9
312.0,80,292,252,347,358.02,9
314.0,80,292,252,352,369.22,9
316.0,80,292,252,355,404.88,9
318.0,79,295,256,356,404.88,9
320.0,76,295,259,356,404.88,9
322.0,75,295,260,356,404.88,9
324.0,78,298,260,357,404.98,9
326.0,73,301,268,358,410.38,9
328.0,75,307,272,360,459.87,10
330.0,71,310,279,361,471.46,10
332.0,73,316,283,363,485.66,10
334.0,78,323,285,367,494.37,10
336.0,78,328,290,373,535.86,10
338.0,80,331,291,375,535.86,11
340.0,79,331,292,376,535.86,11
342.0,80,335,295,378,535.86,11
344.0,80,338,298,380,535.86,11
346.0,78,338,300,380,537.57,11
348.0,80,343,303,385,537.57,11
350.0,80,343,303,391,537.57,11
352.0,80,346,306,392,538.49,11
354.0,78,346,308,392,538.49,11
356.0,79,349,310,393,538.49,11
358.0,80,351,311,398,538.49,11
360.0,80,351,311,400,538.49,11
362.0,80,351,311,403,538.49,11
364.0,78,351,313,403,538.49,11
366.0,80,356,316,405,538.49,11
368.0,78,356,318,409,538.49,11
370.0,78,356,318,409,538.61,11
372.0,73,356,323,409,540.16,11
374.0,79,366,327,413,544.04,11
376.0,75,369,334,414,544.04,11
378.0,71,369,338,414,544.04,11
380.0,71,369,338,414,544.04,11
382.0,70,372,342,415,544.04,11
384.0,65,372,347,415,544.04,11
