t,pop,births,deaths,delivered,hof_best,gen
2.0,40,0,0,0,6.02,0
4.0,40,0,0,0,17.87,0
6.0,49,9,0,3,43.23,1
8.0,55,15,0,5,55.75,1
10.0,67,27,0,9,71.23,2
12.0,79,39,0,13,81.79,2
14.0,80,40,0,19,93.27,3
16.0,80,42,2,25,111.46,3
18.0,80,44,4,29,113.58,3
20.0,80,44,4,37,126.25,3
22.0,80,44,4,42,128.12,3
24.0,80,45,5,49,129.72,3
26.0,80,45,5,57,146.94,3
28.0,80,46,6,62,151.41,3
30.0,80,46,6,70,169.27,3
32.0,80,46,6,71,170.08,3
34.0,80,47,7,73,170.08,3
36.0,80,47,7,73,187.13,3
38.0,80,47,7,74,187.13,3
40.0,80,48,8,75,192.53,3
42.0,79,60,21,79,216.85,3
44.0,80,63,23,80,216.85,3
46.0,78,65,27,84,216.85,3
48.0,80,68,28,85,216.85,3
50.0,79,68,29,87,216.85,3
52.0,80,71,31,90,219.36,3
54.0,80,73,33,93,222.04,3
56.0,77,73,36,94,241.27,3
58.0,80,77,37,97,245.78,3
60.0,79,78,39,100,277.35,3
62.0,79,81,42,103,277.36,3
64.0,80,85,45,107,277.36,3
66.0,76,88,52,108,277.36,3
68.0,73,88,55,108,277.85,3
70.0,69,88,59,108,277.85,3
72.0,73,94,61,110,282.35,4
74.0,75,97,62,111,282.35,4
76.0,74,97,63,111,283.42,4
78.0,77,100,63,112,284.26,4
80.0,79,103,64,113,284.26,4
82.0,75,103,68,113,284.26,4
84.0,80,108,68,120,304.67,4
86.0,80,111,71,125,304.67,5
88.0,79,112,73,127,304.67,5
90.0,80,114,74,132,334.27,5
92.0,77,114,77,133,338.56,5
94.0,73,114,81,133,338.56,5
96.0,78,120,82,135,338.78,5
98.0,78,127,89,138,338.78,5
100.0,75,127,92,138,339.62,5
102.0,72,127,95,138,341.94,5
104.0,76,133,97,140,342.69,5
106.0,80,138,98,143,342.69,5
108.0,80,141,101,146,342.69,5
110.0,80,143,103,150,342.69,5
112.0,80,146,106,152,342.69,5
114.0,78,146,108,152,342.69,5
116.0,79,149,110,155,342.69,5
118.0,77,149,112,155,342.69,5
120.0,80,152,112,159,342.69,5
122.0,80,152,112,159,342.69,5
124.0,78,152,114,160,372.33,5
126.0,78,155,117,161,376.9,5
128.0,76,157,121,163,389.33,5
130.0,80,162,122,165,394.98,5
132.0,80,163,123,167,394.98,5
134.0,80,163,123,170,394.98,5
136.0,76,164,128,171,394.98,5
138.0,76,170,134,173,394.98,5
140.0,75,170,135,173,394.98,5
142.0,78,173,135,174,394.98,5
144.0,75,175,140,175,394.98,5
146.0,76,181,145,177,394.98,5
148.0,74,184,150,178,394.98,5
150.0,76,190,154,180,394.98,5
152.0,80,194,154,184,394.98,5
154.0,79,194,155,184,394.98,5
156.0,80,198,158,187,394.98,5
158.0,79,198,159,188,394.98,5
160.0,80,199,159,190,395.0,5
162.0,80,199,159,191,420.67,5
164.0,79,201,162,192,420.67,5
166.0,80,202,162,194,420.67,6
168.0,80,205,165,197,420.96,6
170.0,79,208,169,198,420.96,6
172.0,78,209,171,199,426.89,6
174.0,80,213,173,201,436.0,6
176.0,80,213,173,202,467.55,6
178.0,73,213,180,203,467.58,6
180.0,77,219,182,205,467.58,6
182.0,75,222,187,207,467.58,6
184.0,76,228,192,209,467.58,6
186.0,80,235,195,213,467.58,6
188.0,76,235,199,213,468.6,6
190.0,78,238,200,214,469.9,6
192.0,74,238,204,214,471.91,6
194.0,75,241,206,215,472.09,6
196.0,74,244,210,216,472.09,6
198.0,76,247,211,217,472.09,6
200.0,78,250,212,218,472.09,6
202.0,77,250,213,218,472.09,6
204.0,76,250,214,218,472.09,6
206.0,80,256,216,221,472.09,6
208.0,80,260,220,224,472.09,6
210.0,75,260,225,224,472.09,6
212.0,74,260,226,224,502.02,6
214.0,71,260,229,224,502.02,6
216.0,70,260,230,224,502.02,6
218.0,74,266,232,226,502.02,6
220.0,69,266,237,226,502.02,6
222.0,65,266,241,226,502.02,6
224.0,60,266,246,226,502.02,6
226.0,52,266,254,226,502.02,6
228.0,52,266,254,226,502.02,6
230.0,58,275,257,229,502.02,7
232.0,58,275,257,229,502.02,7
234.0,58,278,260,230,502.02,7
236.0,54,278,264,230,502.02,7
238.0,64,290,266,234,502.02,7
240.0,65,293,268,235,502.02,7
242.0,65,293,268,235,502.02,7
244.0,68,299,271,237,502.02,7
246.0,66,302,276,238,502.02,8
248.0,64,302,278,238,502.02,8
250.0,64,302,278,238,502.02,8
252.0,67,308,281,240,502.02,8
254.0,69,311,282,241,502.02,8
256.0,71,314,283,242,502.02,8
258.0,68,314,286,242,502.02,8
260.0,71,317,286,243,502.02,8
262.0,69,317,288,243,502.02,8
264.0,69,317,288,243,502.02,8
266.0,74,323,289,245,502.02,8
268.0,74,323,289,245,502.02,8
270.0,65,326,301,246,502.02,8
272.0,65,326,301,246,502.02,8
274.0,64,326,302,246,502.02,8
276.0,63,326,303,246,502.02,8
278.0,53,326,313,246,502.02,8
280.0,50,326,316,246,502.02,8
282.0,53,329,316,247,502.02,8
284.0,46,329,323,247,502.02,8
286.0,50,335,325,249,502.02,9
